Year,Jurisdiction,Type of professional,Workforce_ number_of_nurses,Workforce_ employed_full time,Workforce_ employed_part_time,Workforce_ employed _casual,Workforce__employed_status_unknown,Workforce_place of work__hospital,Workforce_ place of work_ community health,Workforce_ place of work_ nursing home/LTC,Workforce_ place of work_ other,Workforce_ place of work_ not stated,Workforce_ position_ staff nurse,Workforce_ position_ manager,Workforce_ position_ other,Workforce_ position_ not stated,Workforce_ area of responsibility_ direct care,Workforce_ area of responsibility_ administration,Workforce_ area of responsibility_ education,Workforce_ area of responsibility_ research,Workforce_ area of responsibility_ not stated,Workforce_ geography_ urban,Workforce_ geography_ rural/remote,Workforce_ geography_ not stated
2018,New Brunswick,Registered nurses,"7,713","4,837","1,908",968,0,"5,203",934,842,734,0,"6,204",970,539,0,"6,844",512,319,38,0,"6,169","1,544",0
2018,Quebec,Registered nurses,"69,526","40,301","23,679","5,532",14,"43,640","9,072","8,484","8,330",0,"57,659","3,022","8,845",0,"61,591","4,284","2,503",788,360,"62,476","7,050",0
2018,Ontario,Registered nurses,"95,814","64,073","25,404","6,337",0,"61,864","15,815","7,604","10,491",40,"73,098","5,373","17,170",173,"86,636","6,684","2,233",0,261,"90,642","5,169",3
2018,Manitoba,Registered nurses,"11,670","5,244","5,356","1,016",54,"7,206","1,795","1,354","1,282",33,"9,256",768,"1,611",35,"10,173",729,600,91,77,"9,285","2,382",3
2018,Saskatchewan,Registered nurses,"10,538","6,143","2,914","1,481",0,"6,304","1,724",991,"1,191",328,"8,304",504,"1,403",327,"9,458",239,481,31,329,"8,284","2,234",20
2018,Alberta,Registered nurses,"34,079","15,090","14,585","4,404",0,"21,922","5,936","2,264","3,952",5,"27,041","2,720","4,318",0,"31,585",917,"1,090",204,283,"30,834","3,244",1
2018,British Columbia,Registered nurses,"35,495","19,573","10,027","5,813",82,"23,494","5,749","2,473","3,730",49,"28,377","2,638","4,442",38,"32,321","1,271","1,630",214,59,"33,423","2,003",69
2018,Yukon,Registered nurses,464,201,180,83,0,249,132,27,50,6,352,44,52,16,398,41,11,1,13,319,69,76
2018,Northwest Territories/Nunavut,Registered nurses,801,577,0,224,0,325,370,13,90,3,587,96,106,12,719,49,0,0,12,0,0,0
2019,Newfoundland and Labrador,Registered nurses,"5,674","4,049",689,936,0,"3,875",792,396,611,0,"4,507",688,479,0,"5,089",336,222,27,0,"4,299","1,373",2
2019,Prince Edward Island,Registered nurses,"1,612",852,541,219,0,967,71,204,370,0,"1,196",110,306,0,"1,404",149,54,5,0,"1,078",523,11
2019,Nova Scotia,Registered nurses,"9,061","6,169","1,766","1,124",2,"6,181",951,960,969,0,"7,049",781,"1,231",0,"8,198",409,379,75,0,"6,868","2,147",46
2019,New Brunswick,Registered nurses,"7,749","4,897","1,878",974,0,"5,201",943,855,750,0,"6,190",964,595,0,"6,925",482,308,34,0,"6,185","1,563",1
2019,Quebec,Registered nurses,"70,217","41,724","23,947","4,545",1,"44,151","9,105","8,608","8,353",0,"60,056","5,394","4,767",0,"61,585","5,394","2,448",790,0,"63,220","6,997",0
2019,Ontario,Registered nurses,"97,575","65,870","25,375","6,329",1,"63,515","15,588","7,797","10,612",63,"74,403","5,478","17,597",97,"88,380","6,774","2,204",0,217,"92,349","5,191",35
2019,Manitoba,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Saskatchewan,Registered nurses,"10,637","6,250","2,913","1,474",0,"6,512","1,749","1,037","1,202",137,"8,571",488,"1,443",135,"9,770",215,481,34,137,"8,707","1,909",21
2019,Alberta,Registered nurses,"34,372","15,940","14,603","3,828",1,"21,943","6,099","2,285","4,045",0,"27,269","2,751","4,352",0,"32,104",958,"1,111",198,1,"31,017","3,341",14
2019,British Columbia,Registered nurses,"35,516","19,814","10,052","5,608",42,"22,992","5,779","2,258","3,633",854,"27,977","2,553","4,425",561,"31,375","1,165","1,561",198,"1,217","33,445","1,991",80
2019,Yukon,Registered nurses,476,236,172,68,0,247,129,43,44,13,347,41,57,31,399,28,19,0,30,325,65,86
2019,Northwest Territories/Nunavut,Registered nurses,728,534,0,192,2,286,306,11,107,18,490,88,88,62,591,45,0,0,71,0,0,0
2020,Newfoundland and Labrador,Registered nurses,"5,725","4,165",660,900,0,"3,888",823,404,610,0,"4,534",695,496,0,"5,119",360,223,23,0,"4,305","1,394",26
2020,Prince Edward Island,Registered nurses,"1,610",863,552,195,0,946,69,193,402,0,"1,171",107,332,0,"1,398",149,58,5,0,"1,083",512,15
2020,Nova Scotia,Registered nurses,"9,310","6,425","1,719","1,166",0,"6,401",978,955,975,1,"7,256",785,"1,268",1,"8,441",417,369,82,1,"7,091","2,160",59
2020,New Brunswick,Registered nurses,"7,695","4,976","1,840",879,0,"5,121",977,827,770,0,"6,035",882,778,0,"6,912",449,298,36,0,"6,168","1,527",0
2020,Quebec,Registered nurses,"70,539","43,561","22,579","4,399",0,"43,827","9,352","8,669","8,691",0,"60,248","5,564","4,727",0,"61,812","5,564","2,350",813,0,"63,571","6,968",0
2020,Ontario,Registered nurses,"97,920","66,505","25,203","6,212",0,"64,176","15,390","7,826","10,512",16,"74,865","5,455","17,460",140,"88,752","6,759","2,172",0,237,"92,719","5,164",37
2020,Manitoba,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Saskatchewan,Registered nurses,"10,753","6,225","3,018","1,510",0,"6,542","1,787",978,"1,197",249,"8,677",494,"1,333",249,"9,688",278,512,26,249,"8,888","1,863",2
2020,Alberta,Registered nurses,"34,627","15,665","14,717","4,244",1,"21,900","6,324","2,280","4,123",0,"27,526","2,761","4,340",0,"32,304",978,"1,138",207,0,"31,266","3,337",24
2020,British Columbia,Registered nurses,"35,880","20,073","10,281","5,477",49,"23,487","5,997","2,464","3,908",24,"28,705","2,636","4,519",20,"32,980","1,147","1,525",199,29,"33,799","1,982",99
2020,Yukon,Registered nurses,517,262,181,74,0,277,147,40,47,6,399,47,62,9,451,36,14,1,15,336,63,118
2020,Northwest Territories/Nunavut,Registered nurses,"1,083",609,80,394,0,422,388,11,150,112,755,93,123,112,842,93,30,6,112,0,0,0
2021,Newfoundland and Labrador,Registered nurses,"5,834","4,247",645,942,0,"3,837",889,431,677,0,"4,591",699,544,0,"5,188",394,220,32,0,"4,404","1,401",29
2021,Prince Edward Island,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nova Scotia,Registered nurses,"9,543","6,640","1,710","1,192",1,"6,505","1,014",980,"1,043",1,"7,420",789,"1,333",1,"8,672",410,375,85,1,"7,242","2,224",77
2021,New Brunswick,Registered nurses,"7,535","4,914","1,764",857,0,"4,997",977,787,774,0,"5,852",857,826,0,"6,794",432,278,31,0,"6,053","1,472",10
2021,Quebec,Registered nurses,"73,062","46,897","21,596","4,569",0,"45,183","9,247","8,270","9,115","1,247","62,383","5,881","4,798",0,"64,079","5,881","2,325",777,0,"65,914","7,148",0
2021,Ontario,Registered nurses,"98,899","68,397","24,324","6,178",0,"64,579","15,934","7,736","10,624",26,"75,877","5,446","17,538",38,"89,915","6,802","2,084",0,98,"93,751","5,097",51
2021,Manitoba,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Saskatchewan,Registered nurses,"10,843","6,433","3,035","1,375",0,"6,683","1,853",957,"1,217",133,"8,949",477,"1,284",133,"9,870",306,510,24,133,"9,047","1,793",3
2021,Alberta,Registered nurses,"34,380","15,410","14,468","4,501",1,"21,489","6,338","2,395","4,155",3,"27,254","2,697","4,427",2,"32,097",977,"1,098",203,5,"31,030","3,320",30
2021,British Columbia,Registered nurses,"38,288","21,906","11,131","5,166",85,"24,551","6,747","2,472","4,128",390,"29,858","3,131","4,818",481,"34,904","1,114","1,453",196,621,"36,011","2,166",111
2021,Yukon,Registered nurses,543,299,177,67,0,291,148,38,61,5,426,57,52,8,478,35,14,1,15,346,54,143
2021,Northwest Territories/Nunavut,Registered nurses,"1,170",655,81,434,0,425,435,11,161,138,810,91,131,138,894,103,0,0,138,0,0,0
2022,Newfoundland and Labrador,Registered nurses,"5,829","4,226",622,981,0,"3,774",939,448,668,0,"4,603",708,518,0,"5,183",396,218,32,0,"4,427","1,372",30
2022,Prince Edward Island,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nova Scotia,Registered nurses,"9,727","6,747","1,731","1,249",0,"6,457","1,150",970,"1,147",3,"7,505",791,"1,428",3,"8,820",411,402,91,3,"7,406","2,270",51
2022,New Brunswick,Registered nurses,"7,422","4,856","1,703",863,0,"4,763","1,039",776,844,0,"5,667",856,899,0,"6,687",438,270,27,0,"5,947","1,470",5
2022,Quebec,Registered nurses,"73,818","50,340","18,719","4,759",0,0,0,0,0,0,"62,783","6,049","4,986",0,"64,631","6,049","2,391",747,0,"66,573","7,240",5
2022,Ontario,Registered nurses,"99,839","70,526","22,526","6,787",0,"64,326","16,943","7,374","11,163",33,"76,117","5,630","18,027",65,"90,692","6,848","2,170",0,129,"94,743","5,047",49
2022,Manitoba,Registered nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Saskatchewan,Registered nurses,"11,140","6,553","3,073","1,514",0,"6,841","1,995",893,"1,260",151,"9,244",460,"1,285",151,"10,095",349,520,25,151,"9,371","1,760",9
2022,Alberta,Registered nurses,"34,399","15,480","14,426","4,487",6,"21,097","6,727","2,325","4,246",4,"27,059","2,706","4,631",3,"32,109",992,"1,097",198,3,"31,114","3,246",39
2022,British Columbia,Registered nurses,"38,935","22,386","11,495","4,916",138,"24,565","7,206","2,288","4,402",474,"29,773","3,418","5,125",619,"35,392","1,096","1,397",178,872,"36,673","2,182",80
2022,Yukon,Registered nurses,639,318,210,98,13,341,167,34,82,15,495,60,69,15,556,39,17,2,25,0,0,0
2022,Northwest Territories/Nunavut,Registered nurses,"1,323",647,120,556,0,465,478,14,189,177,903,87,159,174,"1,000",104,0,0,174,0,0,0
2013,Manitoba,Registered psychiatric nurses,942,563,291,88,0,408,246,176,112,0,697,92,152,1,792,113,35,1,1,665,262,15
2013,Saskatchewan,Registered psychiatric nurses,841,598,163,77,3,211,202,286,142,0,633,106,102,0,764,40,37,0,0,750,87,4
2013,Alberta,Registered psychiatric nurses,"1,280",694,452,134,0,739,317,110,114,0,"1,042",108,130,0,"1,143",104,27,6,0,942,333,5
2013,British Columbia,Registered psychiatric nurses,"2,206","1,531",368,301,6,979,673,289,265,0,"1,770",220,216,0,"1,971",152,73,8,2,"2,113",72,21
2013,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Manitoba,Registered psychiatric nurses,947,557,304,85,1,412,252,172,111,0,701,86,159,1,807,101,38,0,1,661,270,16
2014,Saskatchewan,Registered psychiatric nurses,826,594,148,82,2,218,200,273,135,0,635,94,97,0,748,40,38,0,0,739,84,3
2014,Alberta,Registered psychiatric nurses,"1,292",687,439,166,0,753,317,103,114,5,"1,054",104,129,5,"1,132",121,26,8,5,955,331,6
2014,British Columbia,Registered psychiatric nurses,"2,401","1,547",390,464,0,"1,056",908,189,248,0,"2,014",143,244,0,"2,129",192,79,1,0,"2,317",73,11
2014,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Manitoba,Registered psychiatric nurses,938,564,290,84,0,403,258,164,113,0,698,79,161,0,802,98,37,1,0,659,264,15
2015,Saskatchewan,Registered psychiatric nurses,841,582,153,99,7,170,205,276,163,27,620,98,101,22,746,28,44,0,23,761,76,4
2015,Alberta,Registered psychiatric nurses,"1,285",675,447,163,0,737,323,100,113,12,"1,036",103,134,12,"1,114",127,24,8,12,947,332,6
2015,British Columbia,Registered psychiatric nurses,"2,401","1,537",443,404,17,"1,067",872,162,235,65,"1,991",130,219,61,"2,088",171,80,0,62,"2,317",68,16
2015,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Manitoba,Registered psychiatric nurses,979,570,310,93,6,438,252,155,128,6,735,84,154,6,829,102,39,3,6,690,276,13
2016,Saskatchewan,Registered psychiatric nurses,825,575,157,92,1,211,220,216,148,30,625,92,89,19,712,29,45,0,39,686,123,16
2016,Alberta,Registered psychiatric nurses,"1,265",669,443,153,0,719,337,90,119,0,"1,028",106,131,0,"1,084",127,28,8,18,930,323,12
2016,British Columbia,Registered psychiatric nurses,"2,528","1,567",465,466,30,"1,162",929,157,259,21,"2,128",139,238,23,"2,231",186,86,1,24,"2,447",74,7
2016,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Manitoba,Registered psychiatric nurses,"1,002",571,333,98,0,457,263,155,127,0,774,83,145,0,864,96,40,2,0,693,297,12
2017,Saskatchewan,Registered psychiatric nurses,787,498,155,109,25,211,212,194,141,29,601,84,80,22,687,23,41,0,36,654,116,17
2017,Alberta,Registered psychiatric nurses,"1,276",672,443,161,0,746,324,87,116,3,"1,031",103,140,2,"1,093",137,33,8,5,940,326,10
2017,British Columbia,Registered psychiatric nurses,"2,526","1,641",433,442,10,"1,148",965,159,254,0,"2,160",143,223,0,"2,261",183,80,2,0,"2,447",75,4
2017,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Manitoba,Registered psychiatric nurses,992,570,318,104,0,445,265,147,132,3,759,77,153,3,851,89,43,3,6,691,292,9
2018,Saskatchewan,Registered psychiatric nurses,755,483,156,103,13,209,201,184,128,33,575,78,83,19,653,20,44,0,38,669,80,6
2018,Alberta,Registered psychiatric nurses,"1,295",680,448,167,0,752,327,84,131,1,"1,051",105,139,0,"1,093",155,35,6,6,955,330,10
2018,British Columbia,Registered psychiatric nurses,"2,638","1,637",450,402,149,"1,097",987,156,261,137,"2,148",137,216,137,"2,253",171,75,2,137,"2,558",75,5
2018,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Manitoba,Registered psychiatric nurses,968,579,305,84,0,437,259,138,134,0,738,80,150,0,834,93,41,0,0,674,281,13
2019,Saskatchewan,Registered psychiatric nurses,712,351,133,93,135,202,197,169,131,13,549,64,93,6,621,22,46,0,23,628,79,5
2019,Alberta,Registered psychiatric nurses,"1,308",680,473,155,0,762,340,81,124,1,"1,054",104,146,4,"1,087",177,33,6,5,973,321,14
2019,British Columbia,Registered psychiatric nurses,"2,680","1,780",506,391,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,545",89,46
2019,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Manitoba,Registered psychiatric nurses,990,592,317,81,0,435,261,125,169,0,762,69,159,0,867,83,38,1,1,697,276,17
2020,Saskatchewan,Registered psychiatric nurses,706,457,165,74,10,219,206,156,123,2,543,68,82,13,620,21,38,1,26,622,77,7
2020,Alberta,Registered psychiatric nurses,"1,337",688,478,171,0,791,340,85,120,1,"1,102",108,127,0,"1,080",202,31,5,19,998,322,17
2020,British Columbia,Registered psychiatric nurses,"2,762","1,823",526,407,6,0,0,0,0,0,"2,221",230,310,1,"2,622",76,61,2,1,"2,626",89,47
2020,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Manitoba,Registered psychiatric nurses,"1,020",613,338,69,0,451,272,113,181,3,799,60,158,3,904,72,39,2,3,733,272,15
2021,Saskatchewan,Registered psychiatric nurses,713,439,167,83,24,210,226,145,125,7,560,63,83,7,640,21,42,0,10,632,73,8
2021,Alberta,Registered psychiatric nurses,"1,327",709,469,149,0,763,352,85,127,0,"1,092",97,136,2,"1,066",223,31,4,3,"1,002",310,15
2021,British Columbia,Registered psychiatric nurses,"2,978","2,019",569,385,5,0,0,0,0,0,"2,290",288,349,51,"2,829",67,51,1,30,"2,838",104,36
2021,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Manitoba,Registered psychiatric nurses,"1,045",617,353,75,0,452,290,105,197,1,809,59,176,1,928,74,40,2,1,764,269,12
2022,Saskatchewan,Registered psychiatric nurses,679,417,154,77,31,193,208,134,135,9,537,56,79,7,604,18,31,0,26,607,68,4
2022,Alberta,Registered psychiatric nurses,"1,373",715,479,179,0,797,382,73,121,0,"1,142",98,133,0,"1,083",252,32,5,1,"1,046",311,16
2022,British Columbia,Registered psychiatric nurses,"3,092","2,105",599,370,18,0,0,0,0,0,"2,314",327,388,63,"2,936",61,54,2,39,"2,974",101,17
2022,Yukon,Registered psychiatric nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Newfoundland and Labrador,Licensed practical nurses,"2,223","1,446",93,684,0,917,94,"1,177",35,0,"2,125",0,98,0,"2,208",7,8,0,0,"1,306",917,0
2013,Prince Edward Island,Licensed practical nurses,609,299,237,73,0,303,93,199,14,0,536,7,66,0,591,8,7,1,2,479,130,0
2013,Nova Scotia,Licensed practical nurses,"3,707","1,921",978,781,27,"1,849",514,"1,273",71,0,"3,481",85,141,0,"3,676",15,10,6,0,"2,392","1,314",1
2013,New Brunswick,Licensed practical nurses,"2,995","1,630",980,385,0,"1,600",164,"1,187",43,1,"2,660",77,246,12,"2,760",34,142,0,59,"2,114",875,6
2013,Quebec,Licensed practical nurses,"23,873","9,476","11,888","2,509",0,"16,246",365,"3,444","3,818",0,"23,099",0,770,4,"23,401",141,311,0,20,"20,939","2,931",3
2013,Ontario,Licensed practical nurses,"35,260","20,029","12,191","3,040",0,"14,899","5,199","13,225","1,937",0,"30,399",836,"4,025",0,"34,284",731,229,0,16,"31,895","3,345",20
2013,Manitoba,Licensed practical nurses,"2,952","1,006","1,521",425,0,"1,142",416,"1,254",140,0,"2,856",28,68,0,"2,887",38,26,1,0,"1,761","1,191",0
2013,Saskatchewan,Licensed practical nurses,"2,842","1,493",780,530,39,"1,672",619,515,29,7,"2,523",28,285,6,"2,774",48,12,2,6,"1,952",887,3
2013,Alberta,Licensed practical nurses,"8,948","3,867","3,832","1,249",0,"3,972","2,351","2,303",322,0,"7,951",166,831,0,"8,549",216,176,7,0,"7,284","1,659",5
2013,British Columbia,Licensed practical nurses,"9,985","4,352","2,391","3,234",8,"3,979",885,"4,353",767,1,"8,660",245,"1,077",3,"9,507",320,143,12,3,"9,106",858,21
2013,Yukon,Licensed practical nurses,100,73,16,11,0,32,5,58,5,0,91,0,0,0,95,5,0,0,0,95,4,1
2013,Northwest Territories,Licensed practical nurses,100,78,9,12,1,39,15,36,8,2,87,2,10,1,99,0,0,0,1,32,59,9
2013,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Newfoundland and Labrador,Licensed practical nurses,"2,221","1,449",99,673,0,893,98,"1,184",43,3,"2,132",0,87,2,"2,205",5,7,1,3,"1,297",923,1
2014,Prince Edward Island,Licensed practical nurses,527,249,278,0,0,252,82,160,25,8,459,7,50,11,482,7,7,1,30,319,208,0
2014,Nova Scotia,Licensed practical nurses,"3,664","1,997",959,707,1,"1,785",552,"1,254",73,0,"3,504",87,73,0,"3,629",17,12,6,0,"2,385","1,278",1
2014,New Brunswick,Licensed practical nurses,"2,966","1,687",913,366,0,"1,544",163,"1,209",50,0,"2,534",151,281,0,"2,801",30,135,0,0,"2,092",867,7
2014,Quebec,Licensed practical nurses,"24,852","9,930","12,326","2,596",0,"16,549",401,"3,897","4,005",0,"23,985",0,867,0,"24,357",168,327,0,0,"21,810","3,039",3
2014,Ontario,Licensed practical nurses,"37,248","20,822","13,118","3,308",0,"15,232","5,803","14,012","2,201",0,"32,176",981,"4,091",0,"36,144",817,254,0,33,"33,806","3,418",24
2014,Manitoba,Licensed practical nurses,"2,968",999,"1,637",332,0,"1,141",426,"1,256",145,0,"2,737",36,195,0,"2,890",51,27,0,0,"1,783","1,185",0
2014,Saskatchewan,Licensed practical nurses,"3,134","1,618",939,575,2,"1,743",774,567,49,1,"2,746",42,346,0,"2,978",137,17,1,1,"2,173",959,2
2014,Alberta,Licensed practical nurses,"10,080","4,130","4,135","1,815",0,"4,299","2,677","2,708",396,0,"9,083",183,814,0,"9,555",331,187,7,0,"8,291","1,787",2
2014,British Columbia,Licensed practical nurses,"10,264","4,568","2,528","3,163",5,"4,042",925,"4,547",649,101,"8,880",316,"1,066",2,"9,775",336,143,8,2,"9,073","1,177",14
2014,Yukon,Licensed practical nurses,105,77,12,16,0,33,0,65,0,0,99,0,0,0,0,0,0,0,0,96,9,0
2014,Northwest Territories,Licensed practical nurses,103,80,5,16,2,38,19,41,4,1,86,1,14,2,101,0,0,0,2,36,60,7
2014,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Newfoundland and Labrador,Licensed practical nurses,"2,245","1,501",107,637,0,894,100,"1,206",45,0,"2,148",0,97,0,"2,235",6,4,0,0,"1,323",922,0
2015,Prince Edward Island,Licensed practical nurses,548,270,278,0,0,272,73,161,33,9,477,4,51,16,506,4,7,2,29,328,220,0
2015,Nova Scotia,Licensed practical nurses,"3,774","2,089","1,003",682,0,"1,811",613,"1,274",76,0,"3,582",90,102,0,"3,736",21,13,4,0,"2,453","1,319",2
2015,New Brunswick,Licensed practical nurses,"3,061","1,708",958,395,0,"1,574",164,"1,267",56,0,"2,636",145,280,0,"2,875",42,144,0,0,"2,153",901,7
2015,Quebec,Licensed practical nurses,"24,867","10,035","12,172","2,660",0,"16,045",464,"4,200","4,158",0,"23,907",0,960,0,"24,268",181,418,0,0,"23,705","1,158",4
2015,Ontario,Licensed practical nurses,"39,069","21,548","13,948","3,573",0,"15,560","6,439","14,662","2,408",0,"33,644","1,064","4,361",0,"37,871",899,266,0,33,"35,537","3,506",26
2015,Manitoba,Licensed practical nurses,"3,032","1,014","1,705",313,0,"1,174",452,"1,257",149,0,"2,793",37,202,0,"2,941",62,28,1,0,"1,836","1,196",0
2015,Saskatchewan,Licensed practical nurses,"3,230","1,603",941,684,2,"1,772",797,611,50,0,"2,860",43,327,0,"3,073",144,13,0,0,"2,232",991,7
2015,Alberta,Licensed practical nurses,"10,801","4,331","4,524","1,946",0,"4,602","2,853","2,949",397,0,"9,662",196,943,0,"10,221",398,171,11,0,"8,891","1,910",0
2015,British Columbia,Licensed practical nurses,"10,483","4,784","2,500","3,167",32,"4,086","1,018","4,597",776,6,"9,532",259,682,10,"9,993",231,152,14,93,"9,606",875,2
2015,Yukon,Licensed practical nurses,112,74,13,24,1,32,7,66,7,0,102,0,0,0,107,0,0,0,0,104,7,1
2015,Northwest Territories,Licensed practical nurses,105,74,7,18,6,40,15,41,9,0,89,1,15,0,105,0,0,0,0,39,55,11
2015,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Newfoundland and Labrador,Licensed practical nurses,"2,273","1,498",104,671,0,880,98,"1,225",50,20,"2,163",0,90,20,"2,226",5,3,0,39,"1,321",946,6
2016,Prince Edward Island,Licensed practical nurses,578,261,317,0,0,266,77,180,45,10,517,2,41,18,531,1,7,0,39,353,225,0
2016,Nova Scotia,Licensed practical nurses,"3,850","2,179",985,686,0,"1,759",658,"1,348",85,0,"3,651",109,90,0,"3,803",28,14,5,0,"2,483","1,366",1
2016,New Brunswick,Licensed practical nurses,"3,139","1,714",993,432,0,"1,638",172,"1,265",64,0,"2,719",144,276,0,"2,923",56,160,0,0,"2,213",919,7
2016,Quebec,Licensed practical nurses,"24,620","10,043","12,272","2,305",0,"15,823",476,"4,234","4,087",0,"23,664",0,956,0,"24,021",178,418,0,3,"23,419","1,197",4
2016,Ontario,Licensed practical nurses,"41,468","22,475","15,066","3,927",0,"16,225","7,087","15,493","2,663",0,"35,532","1,141","4,795",0,"40,146",942,342,0,38,"37,788","3,655",25
2016,Manitoba,Licensed practical nurses,"3,103","1,003","1,786",313,1,"1,187",472,"1,300",144,0,"2,878",35,190,0,"3,008",71,21,3,0,"1,890","1,213",0
2016,Saskatchewan,Licensed practical nurses,"3,389","1,650",924,813,2,"1,769",890,636,68,26,"2,996",48,320,25,"3,188",157,16,0,28,"2,346","1,036",7
2016,Alberta,Licensed practical nurses,"11,631","4,465","4,871","2,295",0,"4,882","3,080","3,218",451,0,"10,344",220,"1,067",0,"10,954",477,186,14,0,"9,647","1,984",0
2016,British Columbia,Licensed practical nurses,"10,832","4,979","2,685","3,147",21,"3,990","1,116","4,738",873,115,"9,642",265,804,121,"10,250",183,124,25,250,"9,823",903,106
2016,Yukon,Licensed practical nurses,110,70,16,24,0,30,6,67,7,0,104,0,0,0,104,0,0,0,2,102,7,1
2016,Northwest Territories,Licensed practical nurses,116,90,8,16,2,33,28,52,3,0,102,5,9,0,115,0,0,0,1,39,66,11
2016,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Newfoundland and Labrador,Licensed practical nurses,"2,303","1,492",115,696,0,871,108,"1,274",50,0,"2,215",0,88,0,"2,294",3,6,0,0,"1,372",930,1
2017,Prince Edward Island,Licensed practical nurses,601,251,350,0,0,282,76,189,46,8,535,3,50,13,553,1,10,0,37,373,226,2
2017,Nova Scotia,Licensed practical nurses,"3,994","2,247",996,751,0,"1,799",699,"1,402",94,0,"3,779",120,95,0,"3,942",31,15,6,0,"2,584","1,410",0
2017,New Brunswick,Licensed practical nurses,"3,145","1,749",998,398,0,"1,608",156,"1,225",156,0,"2,654",162,329,0,"2,904",88,153,0,0,"2,201",925,19
2017,Quebec,Licensed practical nurses,"24,169","10,204","12,104","1,861",0,"15,900",443,"4,078","3,748",0,"23,307",0,862,0,"23,644",207,318,0,0,"23,067","1,102",0
2017,Ontario,Licensed practical nurses,"43,053","23,235","15,694","4,123",1,"16,764","7,663","15,792","2,834",0,"36,768","1,213","5,072",0,"41,670",977,368,0,38,"39,389","3,646",18
2017,Manitoba,Licensed practical nurses,"3,171","1,047","1,819",304,1,"1,224",463,"1,326",158,0,"2,936",34,201,0,"3,064",90,15,2,0,"1,945","1,226",0
2017,Saskatchewan,Licensed practical nurses,"3,392","1,623",907,856,6,"1,747",891,652,74,28,"2,991",52,322,27,"3,159",189,15,0,29,"2,364","1,025",3
2017,Alberta,Licensed practical nurses,"12,272","4,772","4,935","2,565",0,"5,039","3,308","3,403",522,0,"10,865",232,"1,175",0,"11,504",558,195,15,0,"10,216","2,056",0
2017,British Columbia,Licensed practical nurses,"10,657","5,124","2,693","2,804",36,"3,986","1,111","4,614",870,76,"10,013",265,319,60,"10,138",178,127,13,201,"9,728",871,58
2017,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,Licensed practical nurses,107,77,8,17,5,38,13,40,15,1,90,4,12,1,105,0,0,0,2,36,61,10
2017,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Newfoundland and Labrador,Licensed practical nurses,"2,296","1,456",129,711,0,814,116,"1,303",63,0,"2,209",0,87,0,"2,274",13,8,1,0,"1,366",929,1
2018,Prince Edward Island,Licensed practical nurses,619,267,352,0,0,282,81,184,43,29,513,2,65,39,531,4,22,0,62,384,232,3
