Year,Jurisdiction,Type_of_professional,Supply_number_of_nurses,Supply_inflow,Supply_outflow,Supply_renewal,Supply_inflow_age_younger_than_35,Supply_inflow_age 35_to_54,Supply_inflow_age_55_and_older,Supply_inflow_age_not_stated,Supply_outflow_age_younger_than_35,Supply_outflow_age_ 35_to_ 54,Supply_outflow_age_55_and _older,Supply_outflow_age_not_stated,Supply_renewal_age_younger_than_35,Supply_renewal_age_35_to_54,Supply_renewal_age_55_and_older,Supply_renewal_age_not_stated,Supply_employment_status_employed_in_profession,Supply_employed_and_seeking_employment,Supply__employed_other_profession_not_seeking_employment,Supply_not_employed_and_seeking_employment,Supply_not_employed_not _seeking _employment_in _profession,Supply_employment_status_not_stated,Supply_sex_female,Supply_sex_male,Supply_sex_not_stated,Supply_average_age,Supply_age_younger_than_30,Supply_age_30_to_39,Supply_age_40_to_ 49,Supply_age_50_to_ 59,Supply_age_60_to_64,Supply_age_65_to_ 69,Supply_age_70_and_older,Supply_age _not_stated,Supply_location_of_graduation_Canada,Supply_location_of_graduation_international,Supply_location_of_graduation_not_stated,Supply_years_since_graduation_0_to_10,Supply_years_since_graduation_11_to_20,Supply_years_since_graduation_21_to_30,Supply_years_since_graduation_31_and_more,Supply_years_since_graduation_not_stated,Supply_employed_in_other_renewal_age_not_stated
2022,British Columbia,Nurse practitioners,761,139,0,622,55,55,2,0,0,0,0,0,77,447,98,98,729,0,1,1,4,26,692,69,0,43.2,14,304,273,115,37,16,2,0,699,57,5,168,356,147,85,5,0
2022,Yukon,Nurse practitioners,22,5,0,17,1,1,1,0,0,0,0,0,2,13,2,2,20,0,0,1,0,1,18,1,3,44.4,0,9,8,3,1,0,1,0,21,1,0,4,11,4,3,0,0
2022,Northwest Territories/Nunavut,Nurse practitioners,110,29,0,81,5,5,6,0,0,0,0,0,7,44,30,30,0,,0,0,0,0,96,14,0,48.7,0,32,26,27,13,0,6,0,102,7,1,60,34,0,0,2,0
2013,Newfoundland and Labrador,Registered nurses,6022,401,443,5621,299,299,17,0,153,103,187,0,1336,3319,966,966,5947,6,16,42,10,1,5684,338,0,42.9,947,1379,1856,1473,264,90,13,0,5919,103,0,1863,1339,1626,1194,0,6
2013,Prince Edward Island,Registered nurses,1636,102,139,1534,73,73,7,0,43,24,72,0,307,752,475,475,1566,0,0,8,29,33,1579,57,0,46.4,214,298,393,450,177,70,34,0,1595,40,1,481,232,410,513,0,0
2013,Nova Scotia,Registered nurses,9451,617,674,8834,420,420,53,0,180,161,333,0,1471,4545,2818,2818,9019,7,1,36,2,386,9009,442,0,46.9,1043,1615,2290,3164,910,335,94,0,9114,337,0,2432,1398,2516,3105,0,7
2013,New Brunswick,Registered nurses,8418,445,548,7973,323,323,24,0,164,129,255,0,1626,4343,2004,2004,8088,3,7,30,162,128,7994,424,0,45.1,1055,1713,2351,2368,660,225,46,0,8260,157,1,2358,1598,2347,2115,0,3
2013,Quebec,Registered nurses,68962,4466,4085,64496,3193,3193,226,0,1028,732,2325,0,16724,34080,13692,13692,67716,,0,0,0,1246,61762,7200,0,43.1,10947,17502,17090,17766,3782,1381,494,0,66286,2676,0,24087,14910,15151,14814,0,0
2013,Ontario,Registered nurses,106547,5478,8593,101069,4014,4014,256,0,774,2169,5650,0,17662,49478,33928,33928,94099,585,2187,2426,3780,3470,100607,5940,0,47,11970,19540,26248,29338,12299,5256,1895,1,94035,12387,125,26383,21941,25085,33103,35,585
2013,Manitoba,Registered nurses,12318,659,588,11659,477,477,24,0,124,127,337,0,2285,5980,3394,3394,12070,0,0,0,17,231,11133,937,0,45.9,1431,2604,3090,3511,1168,411,103,0,11243,1073,2,4134,2227,3048,2909,0,0
2013,Saskatchewan,Registered nurses,10372,818,863,9554,606,606,51,0,241,180,442,0,2421,4290,2843,2843,10102,25,17,73,65,90,9759,613,0,44.7,1675,2272,2159,2794,1022,349,101,0,9711,661,0,3589,1718,2123,2942,0,25
2013,Alberta,Registered nurses,32538,2945,1960,29593,2112,2112,140,0,709,445,806,0,7281,14328,7984,7984,31771,37,7,274,45,404,30755,1783,0,44.1,4917,8018,7677,7738,2784,1100,304,0,29056,3396,86,11972,6141,6740,7685,0,37
2013,British Columbia,Registered nurses,34632,2939,2229,31693,1912,1912,210,1,690,505,1033,1,6997,15349,9347,9347,31593,17,335,0,489,2198,32116,2516,0,45.1,4789,7845,7970,9237,3189,1243,358,1,29011,5301,320,11223,6834,7650,8340,585,17
2013,Yukon,Registered nurses,385,71,63,314,44,44,8,0,27,17,19,0,70,157,87,87,382,0,0,0,2,1,350,35,0,43.7,55,104,78,113,29,5,1,0,349,36,0,149,86,74,76,0,0
2013,Northwest Territories/Nunavut,Registered nurses,1107,194,188,913,87,87,34,0,49,79,60,0,191,422,300,300,1086,0,0,6,0,15,989,118,0,45.8,122,301,207,289,119,50,19,0,1020,84,3,403,243,190,271,0,0
2014,Newfoundland and Labrador,Registered nurses,6003,424,447,5579,306,306,14,0,164,104,179,0,1334,3311,934,934,5933,6,9,44,11,0,5657,346,0,42.8,944,1419,1785,1487,263,86,19,0,5912,91,0,1903,1333,1604,1161,2,6
2014,Prince Edward Island,Registered nurses,1611,114,122,1497,78,78,9,0,47,29,46,0,303,735,459,459,1537,1,0,3,34,36,1551,60,0,46.2,213,303,377,445,172,75,26,0,1573,38,0,487,222,407,495,0,1
2014,Nova Scotia,Registered nurses,9523,746,714,8777,505,505,49,0,224,158,332,0,1568,4377,2832,2832,9162,12,1,17,1,330,9057,466,0,46.6,1179,1658,2192,3101,934,354,105,0,9191,332,0,2652,1325,2443,3103,0,12
2014,New Brunswick,Registered nurses,8302,432,577,7870,298,298,18,0,153,112,312,0,1640,4238,1992,1992,7986,11,3,25,176,101,7860,442,0,45.3,1021,1714,2227,2399,662,220,59,0,8150,152,0,2311,1538,2328,2125,0,11
2014,Quebec,Registered nurses,69667,4790,4520,64877,3465,3465,216,0,1172,802,2546,0,17303,34055,13519,13519,68321,,0,0,0,1346,62264,7403,0,42.8,11339,18232,17034,17460,3718,1364,520,0,66752,2915,0,24637,15962,14964,14104,0,0
2014,Ontario,Registered nurses,102247,4293,4742,97954,3319,3319,157,0,700,829,3213,0,19075,47774,31104,31104,95458,425,358,2077,1494,2435,96173,6074,0,46.6,12384,19545,24510,27871,11400,4790,1746,1,90233,11838,176,26125,21974,24057,29980,111,425
2014,Manitoba,Registered nurses,12492,762,633,11730,567,567,19,0,124,142,367,0,2405,6243,3082,3082,12148,0,0,69,49,226,11168,980,0,45.7,1465,2826,2971,3452,1228,420,130,0,11379,1113,0,4289,2196,3084,2923,0,0
2014,Saskatchewan,Registered nurses,10291,782,632,9509,579,579,37,0,159,112,361,0,2579,4209,2721,2721,10179,10,29,10,50,13,9665,626,0,44.2,1711,2437,2060,2648,1018,329,88,0,9502,789,0,3764,1662,2078,2787,0,10
2014,Alberta,Registered nurses,32537,1959,1948,30578,1251,1251,109,0,622,499,827,0,7923,14636,8019,8019,32050,36,92,97,32,230,30582,1955,0,44.3,4447,8420,7678,7612,2941,1107,332,0,29093,3391,53,11733,6377,6890,7537,0,36
2014,British Columbia,Registered nurses,35088,2685,2489,32403,1720,1720,172,0,772,570,1147,0,7480,15500,9423,9423,32249,16,328,0,445,2050,32464,2624,0,44.9,4789,8269,7998,9075,3328,1249,380,0,29485,5295,308,11435,6671,7857,8197,928,16
2014,Yukon,Registered nurses,395,73,59,322,39,39,7,0,27,18,14,0,81,158,83,83,394,0,0,1,0,0,354,41,0,43.5,56,112,82,106,27,11,1,0,351,44,0,149,95,73,78,0,0
2014,Northwest Territories/Nunavut,Registered nurses,1164,245,228,919,98,98,49,0,67,99,62,0,213,408,298,298,1063,0,0,27,0,63,1032,132,0,45.6,133,316,218,302,120,54,21,0,1071,90,3,432,258,195,279,0,0
2015,Newfoundland and Labrador,Registered nurses,6008,452,415,5556,327,327,21,0,125,98,192,0,1352,3279,925,925,5936,3,5,54,10,0,5660,348,0,42.7,966,1436,1721,1502,274,92,17,0,5924,84,0,1916,1362,1563,1167,0,3
2015,Prince Edward Island,Registered nurses,1586,97,125,1489,72,72,9,0,40,26,59,0,297,730,462,462,1523,0,0,0,20,43,1529,57,0,46.4,206,311,354,440,167,80,28,0,1547,39,0,479,210,390,507,0,0
2015,Nova Scotia,Registered nurses,9524,715,759,8809,500,500,45,0,221,167,371,0,1674,4281,2854,2854,9153,4,0,5,1,361,9028,496,0,46.4,1273,1703,2057,3034,1004,339,114,0,9186,338,0,2769,1291,2336,3128,0,4
2015,New Brunswick,Registered nurses,8240,515,577,7725,373,373,23,0,170,127,280,0,1633,4124,1968,1968,7855,6,4,22,189,164,7796,444,0,45,1063,1774,2090,2377,662,217,57,0,8093,147,0,2330,1562,2259,2089,0,6
2015,Quebec,Registered nurses,70042,4895,4413,65147,3646,3646,205,0,1233,844,2336,0,17869,34212,13066,13066,68435,,0,0,0,1607,62425,7617,0,42.5,11925,18557,17235,16920,3517,1340,548,0,66866,3176,0,25263,16729,14673,13377,0,0
2015,Ontario,Registered nurses,102490,4985,4698,97505,3924,3924,139,0,838,808,3052,0,19792,47064,30648,30648,95659,458,330,2165,1518,2360,96079,6411,0,46.3,13172,20121,23892,27357,11342,4853,1752,1,90545,11681,264,27697,21193,24011,29270,319,458
2015,Manitoba,Registered nurses,12634,775,594,11859,555,555,32,0,125,133,336,0,2590,5897,3372,3372,12165,0,0,78,39,352,11576,1058,0,45.7,1507,3000,2969,3349,1246,427,136,0,11426,1208,0,4446,2267,3000,2921,0,0
2015,Saskatchewan,Registered nurses,10226,567,691,9659,412,412,31,0,199,137,355,0,2774,4205,2680,2680,10054,35,10,98,12,17,9585,641,0,44.1,1664,2577,2039,2501,1028,319,98,0,9299,803,124,3744,1757,2018,2707,0,35
2015,Alberta,Registered nurses,34764,4175,2239,30589,3142,3142,119,0,751,583,905,0,7742,14830,8017,8017,33773,187,103,496,70,135,32541,2223,0,43.4,5639,9301,7802,7496,3037,1145,344,0,31427,3323,14,13415,6960,6960,7429,0,187
2015,British Columbia,Registered nurses,35397,2798,2171,32599,1624,1624,269,0,582,476,1113,0,7681,15588,9330,9330,33545,130,83,177,141,1321,32677,2720,0,44.9,4644,8698,8098,8864,3398,1301,394,0,29701,5362,334,11209,6717,7975,8058,1438,130
2015,Yukon,Registered nurses,400,64,71,336,34,34,16,0,33,17,21,0,89,161,86,86,392,0,0,5,0,3,358,42,0,43.9,54,120,78,95,38,14,1,0,360,40,0,157,84,74,85,0,0
2015,Northwest Territories/Nunavut,Registered nurses,1153,217,222,936,88,88,32,0,71,78,73,0,219,412,305,305,980,0,0,7,15,151,1021,132,0,45.6,115,332,227,290,102,62,25,0,1056,95,2,438,248,198,269,0,0
2016,Newfoundland and Labrador,Registered nurses,6023,448,437,5819,330,330,25,0,151,111,175,0,1443,3420,956,956,5901,16,5,71,18,12,5654,369,0,42.6,985,1471,1650,1541,265,92,19,0,5942,80,1,1953,1379,1517,1174,0,16
2016,Prince Edward Island,Registered nurses,1611,150,131,1461,97,97,15,0,46,24,61,0,301,700,460,460,1517,0,2,5,31,56,1551,60,0,46,227,335,341,444,146,96,22,0,1551,41,19,498,249,377,487,0,0
2016,Nova Scotia,Registered nurses,9489,724,774,8765,526,526,39,0,230,177,367,0,1816,4134,2815,2815,9111,18,3,1,0,356,8955,534,0,46,1377,1780,1932,2930,994,358,118,0,9155,334,0,2898,1286,2209,3096,0,18
2016,New Brunswick,Registered nurses,8033,370,527,7663,243,243,28,0,141,122,264,0,1650,4046,1967,1967,7716,3,1,29,138,146,7592,441,0,45.2,979,1771,1988,2356,652,227,60,0,7893,140,0,2218,1535,2229,2051,0,3
2016,Quebec,Registered nurses,70600,4971,4819,65629,3452,3452,367,0,1229,927,2663,0,18384,34585,12660,12660,68164,,0,0,0,2436,62839,7761,0,42.3,12418,18747,17455,16661,3446,1325,548,0,67221,3379,0,25676,17505,14558,12861,0,0
2016,Ontario,Registered nurses,102006,4214,4877,97792,3282,3282,133,0,891,782,3204,0,20875,46538,30378,30378,95609,386,244,2135,1642,1990,95336,6670,0,46.2,13200,20721,23279,26847,11142,4950,1866,1,90104,11583,319,28935,20220,23144,29327,380,386
2016,Manitoba,Registered nurses,12707,667,78,12040,513,513,25,0,35,26,17,0,2720,5896,3424,3424,12203,0,0,73,30,401,11605,1102,0,45.2,1509,3149,2906,3283,1264,446,150,0,11481,1226,0,4431,2426,2956,2894,0,0
2016,Saskatchewan,Registered nurses,10507,972,597,9535,751,751,35,0,142,119,336,0,2723,4203,2609,2609,10264,71,15,122,18,17,9808,699,0,43.4,1809,2871,2022,2374,1006,335,90,0,9507,873,127,3970,1964,2014,2559,0,71
2016,Alberta,Registered nurses,34992,2467,2153,32525,1819,1819,84,0,729,553,871,0,9267,15288,7970,7970,34651,99,71,119,50,2,32689,2303,0,43.3,5721,9690,7648,7363,3035,1175,360,0,31637,3345,10,13390,7430,6881,7291,0,99
2016,British Columbia,Registered nurses,36506,3280,2058,33226,2153,2153,196,0,544,425,1089,0,7871,16026,9329,9329,34405,100,61,180,146,1614,33593,2913,0,44.5,4994,9513,8280,8534,3371,1362,452,0,30693,5381,432,11376,7055,7917,7955,2203,100
2016,Yukon,Registered nurses,413,84,46,329,49,49,6,0,16,11,19,0,80,158,91,91,400,0,0,3,0,10,375,38,0,43.3,57,132,81,96,32,14,1,0,373,40,0,162,94,74,83,0,0
2016,Northwest Territories/Nunavut,Registered nurses,1135,204,197,931,91,91,32,0,58,82,57,0,208,438,285,285,991,0,0,122,5,17,995,140,0,45.4,123,324,237,258,111,58,24,0,1043,91,1,443,247,198,247,0,0
2017,Newfoundland and Labrador,Registered nurses,5969,383,477,5586,297,297,18,0,151,117,209,0,1433,3224,929,929,5855,9,7,55,16,27,5602,367,0,42.6,987,1468,1600,1548,256,84,26,0,5893,76,0,1966,1327,1519,1157,0,9
2017,Prince Edward Island,Registered nurses,1628,148,128,1480,107,107,16,0,50,24,54,0,326,684,470,470,1547,0,2,0,16,63,1563,65,0,45.5,235,364,332,440,144,89,24,0,1552,40,36,519,278,350,481,0,0
2017,Nova Scotia,Registered nurses,9498,783,848,8715,558,558,50,0,225,193,430,0,1949,3974,2792,2792,9073,29,2,5,0,389,8932,566,0,45.6,1487,1906,1828,2815,957,382,123,0,9154,344,0,3070,1397,1989,3042,0,29
2017,New Brunswick,Registered nurses,8045,539,536,7506,356,356,48,0,165,112,259,0,1540,4014,1952,1952,7759,3,0,24,139,120,7594,451,0,45.1,986,1849,1905,2371,637,217,80,0,7909,136,0,2257,1538,2201,2049,0,3
2017,Quebec,Registered nurses,70629,4848,4161,65781,3556,3556,141,0,1229,895,2037,0,18714,35031,12036,12036,68498,,0,0,0,2131,62755,7874,0,41.9,12897,19083,17609,16028,3261,1226,525,0,67058,3571,0,25875,18443,14444,11867,0,0
2017,Ontario,Registered nurses,101912,4783,4997,97129,3797,3797,126,0,799,748,3450,0,21241,45798,30090,30090,94948,360,232,2077,1693,2602,94958,6954,0,46,13478,21598,22824,26334,10680,5028,1970,0,90160,11449,303,30321,19876,23320,28225,170,360
2017,Manitoba,Registered nurses,13126,497,647,12629,381,381,18,0,115,137,395,0,3198,5999,3432,3432,12282,0,0,66,31,747,11937,1142,47,46.4,1796,3238,2941,3291,1261,447,152,0,11848,1273,5,4385,2688,2875,3178,0,0
2017,Saskatchewan,Registered nurses,10677,767,672,9910,618,618,30,0,169,123,380,0,3016,4357,2537,2537,10416,91,14,121,15,20,9952,725,0,43,1915,3068,2038,2241,953,356,106,0,9667,879,131,4196,2057,1970,2454,0,91
2017,Alberta,Registered nurses,35448,2609,2163,32839,1898,1898,96,0,736,508,919,0,9352,15598,7889,7889,34356,130,82,74,30,776,33068,2380,0,43.1,5878,10038,7759,7212,2930,1224,407,0,31900,3532,16,13522,8043,6683,7200,0,130
2017,British Columbia,Registered nurses,37355,2907,2639,34448,2109,2109,120,0,805,573,1261,0,8537,16627,9284,9284,35207,153,98,234,181,1482,34261,3094,0,44.1,5282,10182,8404,8287,3349,1377,474,0,31444,5429,482,11394,7449,7764,7818,2930,153
2017,Yukon,Registered nurses,455,88,78,367,49,49,9,0,36,24,18,0,104,175,88,88,434,0,1,5,2,13,414,41,0,42.4,71,144,101,91,35,12,1,0,409,43,3,189,108,73,85,0,0
2017,Northwest Territories/Nunavut,Registered nurses,1013,75,221,938,18,18,32,0,49,76,96,0,219,430,289,289,990,0,0,0,0,3,896,117,0,46.7,74,287,222,228,116,55,31,0,927,85,1,332,252,179,250,0,0
2018,Newfoundland and Labrador,Registered nurses,5869,377,464,5492,274,274,18,0,181,115,168,0,1452,3138,902,902,5737,13,3,69,18,29,5503,366,0,42.5,986,1472,1562,1517,228,78,26,0,5798,71,0,1931,1352,1502,1084,0,13
2018,Prince Edward Island,Registered nurses,1666,166,114,1500,114,114,14,0,38,19,57,0,354,670,476,476,1560,2,2,7,24,71,1591,75,0,45.2,258,387,325,440,136,97,23,0,1579,40,47,548,308,337,473,0,2
2018,Nova Scotia,Registered nurses,9442,792,792,8650,553,553,49,0,246,193,353,0,2117,3786,2747,2747,8997,13,0,11,0,421,8865,576,1,45.1,1564,2042,1770,2655,925,368,118,0,9083,359,0,3213,1556,1751,2922,0,13
2018,New Brunswick,Registered nurses,8037,528,554,7509,383,383,40,0,167,123,264,0,1570,3964,1975,1975,7713,6,0,25,148,145,7582,455,0,45,1028,1866,1850,2343,641,233,76,0,7901,136,0,2303,1639,2016,2079,0,6
2018,Quebec,Registered nurses,71479,5011,3957,66468,3476,3476,196,0,1256,829,1872,0,19145,35473,11850,11850,69526,,0,0,0,1953,63396,8083,0,41.8,13283,19537,17861,15830,3249,1167,552,0,67425,4054,0,26144,19259,14572,11504,0,0
2018,Ontario,Registered nurses,102396,5481,4794,96915,4331,4331,164,0,813,826,3155,0,22127,45113,29675,29675,95814,363,265,2016,1581,2357,95043,7353,0,45.6,14290,22783,22303,26026,9986,5080,1928,0,90846,11454,96,31672,20439,22448,27805,32,363
2018,Manitoba,Registered nurses,13172,693,717,12479,556,556,20,0,118,116,483,0,3145,5939,3395,3395,11670,55,56,91,46,1254,11993,1177,2,46,1808,3407,2908,3193,1237,458,161,0,11872,1299,1,4402,2911,2729,3130,0,55
2018,Saskatchewan,Registered nurses,10825,820,621,10005,657,657,25,0,168,105,348,0,3151,4437,2417,2417,10538,79,6,165,18,19,10058,767,0,42.4,2011,3248,2078,2179,843,359,107,0,9876,937,12,4412,2196,1947,2270,0,79
2018,Alberta,Registered nurses,35691,2406,2243,33285,1771,1771,101,0,815,543,885,0,9445,16028,7812,7812,34079,163,66,12,0,1371,33241,2439,11,43.1,5837,10430,7777,7147,2854,1250,396,0,32170,3513,8,13474,8520,6614,7082,1,163
2018,British Columbia,Registered nurses,37592,2876,2804,34716,2070,2070,135,0,969,711,1124,0,8919,16791,9006,9006,35495,147,97,220,202,1431,34335,3257,0,43.8,5488,10445,8519,8108,3195,1359,478,0,31813,5486,293,14001,7975,7474,7641,501,147
2018,Yukon,Registered nurses,476,99,111,377,60,60,14,0,51,31,29,0,103,181,93,93,464,0,0,6,1,5,432,44,0,42.2,79,155,92,97,43,8,2,0,429,46,1,198,119,75,82,2,0
2018,Northwest Territories/Nunavut,Registered nurses,811,19,127,792,0,0,9,0,32,45,50,0,159,387,246,246,801,0,0,0,0,8,716,95,0,46.9,39,239,191,193,80,48,21,0,739,71,1,252,213,149,197,0,0
2019,Newfoundland and Labrador,Registered nurses,5771,366,374,5405,263,263,27,0,113,101,160,0,1399,3096,910,910,5674,13,13,51,11,9,5406,365,0,42.6,950,1436,1525,1520,231,75,34,0,5702,69,0,1887,1323,1516,1045,0,13
2019,Prince Edward Island,Registered nurses,1704,152,113,1552,113,113,10,1,31,16,65,1,392,683,477,477,1612,1,1,6,27,57,1625,79,0,44.8,270,424,320,433,142,85,29,1,1623,49,32,586,339,304,474,1,1
2019,Nova Scotia,Registered nurses,9508,858,784,8650,615,615,48,0,270,138,376,0,2244,3694,2712,2712,9061,8,0,16,0,423,8903,605,0,44.6,1688,2145,1744,2519,908,384,120,0,9106,402,0,3382,1701,1624,2801,0,8
2019,New Brunswick,Registered nurses,8019,536,570,7483,389,389,37,0,208,127,235,0,1612,3855,2016,2016,7749,4,0,16,69,181,7554,465,0,45,1059,1887,1782,2336,617,264,74,0,7889,130,0,2322,1767,1825,2105,0,4
2019,Quebec,Registered nurses,72695,5173,4252,67522,3635,3635,214,0,1256,1007,1989,0,19341,36275,11906,11906,70217,,0,0,0,2478,64369,8326,0,41.7,13625,20063,18243,15685,3252,1262,565,0,68186,4509,0,26816,19991,14505,11383,0,0
2019,Ontario,Registered nurses,103877,6275,4963,97602,5002,5002,150,0,950,807,3206,0,23406,44495,29701,29701,97575,421,243,2148,1373,2117,96000,7876,1,45.2,15289,24243,22028,25691,9519,5118,1989,0,92027,11756,94,33732,21024,21857,27231,33,421
2019,Manitoba,Registered nurses,12995,540,728,12455,411,411,20,0,134,124,470,0,3253,5930,3272,3272,0,,0,0,0,0,11492,1166,337,45.3,1744,3501,2887,3122,1129,467,145,0,11673,1321,1,4250,3167,2602,2976,0,0
2019,Saskatchewan,Registered nurses,10940,736,592,10204,605,605,23,0,183,125,284,0,3295,4581,2328,2328,10637,94,11,164,13,21,10143,797,0,42,2102,3368,2112,2107,763,374,114,0,9999,941,0,4556,2410,1828,2146,0,94
2019,Alberta,Registered nurses,35907,2459,2101,33448,1738,1738,108,0,773,521,807,0,9342,16313,7793,7793,34372,122,50,24,2,1337,33400,2507,0,43,5636,10748,7969,7129,2728,1308,389,0,32311,3589,7,13231,9285,6405,6986,0,122
2019,British Columbia,Registered nurses,38041,3253,2476,34788,2188,2188,174,0,818,634,1024,0,9063,16840,8885,8885,35516,125,89,171,180,1960,34631,3410,0,43.6,5622,10785,8697,7982,3062,1406,487,0,32246,5428,367,14283,8537,7214,7494,513,125
2019,Yukon,Registered nurses,480,115,76,365,63,63,17,0,38,23,15,0,103,174,88,88,476,0,0,4,0,0,433,47,0,41.8,83,154,99,100,30,11,3,0,435,44,1,207,123,72,78,0,0
2019,Northwest Territories/Nunavut,Registered nurses,743,59,83,684,10,10,23,0,19,31,33,0,104,355,225,225,728,0,0,5,0,5,655,87,1,47.8,18,214,184,184,79,49,15,0,673,70,0,190,212,152,189,0,0
2020,Newfoundland and Labrador,Registered nurses,5835,438,375,5397,326,326,39,0,161,84,130,0,1413,3022,962,962,5725,14,9,56,28,3,5441,394,0,42.5,1008,1465,1481,1524,225,92,40,0,5753,82,0,1958,1432,1393,1052,0,14
2020,Prince Edward Island,Registered nurses,1707,116,120,1591,81,81,10,0,40,27,53,0,425,710,456,456,1610,1,2,2,29,63,1622,85,0,44.4,268,440,324,429,136,79,31,0,1643,64,0,591,373,282,461,0,1
2020,Nova Scotia,Registered nurses,9783,1059,718,8724,782,782,50,0,252,142,324,0,2383,3681,2660,2660,9310,3,0,15,1,454,9117,666,0,43.8,1893,2319,1812,2355,878,408,118,0,9317,466,0,3683,1899,1524,2677,0,3
2020,New Brunswick,Registered nurses,7974,525,626,7449,334,334,73,0,215,104,307,0,1632,3737,2080,2080,7695,4,0,23,73,179,7495,479,0,45.2,1022,1913,1737,2264,669,285,84,0,7841,133,0,2244,1892,1678,2160,0,4
2020,Quebec,Registered nurses,73337,4894,4063,68443,2949,2949,491,0,1392,952,1719,0,19826,36881,11736,11736,70539,,0,0,0,2798,64838,8499,0,41.9,13130,20498,18912,15380,3485,1379,553,0,68273,5064,0,26819,21002,13932,11583,1,0
2020,Ontario,Registered nurses,104976,6062,4947,98914,4740,4740,125,0,851,826,3270,0,25002,44681,29231,29231,97920,420,237,2119,1400,2880,96642,8330,4,44.9,15802,25782,21809,25363,9148,5060,2012,0,92824,12060,92,35368,21919,21295,26362,32,420
2020,Manitoba,Registered nurses,12856,589,671,12267,467,467,12,0,107,127,437,0,3151,5956,3160,3160,0,,0,0,0,0,10918,1135,803,45.1,1710,3607,2864,3077,1037,413,148,0,11517,1339,0,4164,3485,2373,2834,0,0
2020,Saskatchewan,Registered nurses,11182,834,626,10348,662,662,37,0,155,120,351,0,3408,4673,2267,2267,10753,12,10,52,10,345,10344,837,1,41.8,2183,3548,2138,2028,804,368,113,0,10219,961,2,4660,2695,1737,2090,0,12
2020,Alberta,Registered nurses,36394,2588,2496,33806,1810,1810,98,0,910,581,1005,0,9278,16720,7808,7808,34627,141,74,5,1,1546,33752,2623,19,43,5495,11141,8156,7196,2638,1364,404,0,32764,3629,1,13288,9939,6174,6992,1,141
2020,British Columbia,Registered nurses,38863,3298,2040,35565,2206,2206,139,0,542,510,988,0,9420,17345,8800,8800,35880,163,115,195,216,2294,35301,3562,0,43.4,5684,11474,8816,7923,3011,1447,508,0,32989,5499,375,14949,9361,6973,7388,192,163
2020,Yukon,Registered nurses,532,128,120,404,55,55,28,0,48,33,39,0,112,197,95,95,517,3,2,3,0,7,478,54,0,42.7,79,176,110,103,42,18,4,0,483,49,0,214,141,77,100,0,3
2020,Northwest Territories/Nunavut,Registered nurses,1368,708,222,660,326,326,114,0,84,74,64,0,74,355,231,231,1083,,0,22,0,254,1177,190,1,44,162,442,290,280,113,55,26,0,1240,127,1,557,333,212,266,0,0
2021,Newfoundland and Labrador,Registered nurses,5944,484,448,5460,315,315,70,0,162,92,194,0,1444,2970,1046,1046,5834,17,8,60,25,0,5523,421,0,42.7,1047,1460,1462,1566,261,109,39,0,5858,86,0,1973,1498,1332,1141,0,17
2021,Prince Edward Island,Registered nurses,1744,157,96,1587,117,117,7,0,27,20,49,0,432,700,455,455,0,,0,0,0,0,1651,93,0,43.9,285,476,329,407,139,76,32,0,1665,79,0,612,416,267,449,0,0
2021,Nova Scotia,Registered nurses,10218,1153,948,9065,692,692,212,0,346,161,441,0,2707,3727,2631,2631,9543,5,1,26,0,643,9484,734,0,43.7,1931,2614,1810,2332,917,445,169,0,9672,545,1,3863,2153,1470,2731,1,5
2021,New Brunswick,Registered nurses,8045,697,677,7348,368,368,159,0,228,159,290,0,1568,3696,2084,2084,7535,4,0,7,47,452,7558,487,0,45.4,985,1952,1767,2198,686,351,106,0,7894,151,0,2174,2065,1568,2238,0,4
2021,Quebec,Registered nurses,76712,7438,4720,69274,4152,4152,1284,0,1436,1172,2112,0,19548,37558,12168,12168,73062,,0,0,0,3650,67723,8989,0,42.1,13469,21246,20011,15474,3851,1985,676,0,70937,5775,0,28290,22383,13352,12687,0,0
2021,Ontario,Registered nurses,106595,6566,5212,100029,4977,4977,292,0,1230,1030,2952,0,26225,45279,28525,28525,98899,332,284,2119,1618,3343,97807,8771,17,44.5,16475,27449,21731,25054,8955,4945,1986,0,94020,12487,88,36936,23521,20453,25654,31,332
2021,Manitoba,Registered nurses,13149,564,674,12585,446,446,14,0,144,154,376,0,3242,6238,3105,3105,0,,0,0,0,0,0,0,0,0,1717,3838,2935,3054,1013,436,156,0,11776,1373,0,4691,3566,2358,2534,0,0
2021,Saskatchewan,Registered nurses,11307,751,574,10556,547,547,65,0,160,129,285,0,3519,4893,2144,2144,10843,19,7,51,15,372,10449,857,1,41.5,2173,3675,2230,2014,748,355,112,0,10371,935,1,4739,2957,1588,2023,0,19
2021,Alberta,Registered nurses,36288,2390,2577,33898,1606,1606,135,0,932,681,964,0,9202,17059,7637,7637,34380,144,97,15,1,1651,33567,2700,21,43.1,5325,11154,8333,7197,2535,1347,397,0,32654,3633,1,12913,10610,5957,6808,0,144
2021,British Columbia,Registered nurses,40343,3520,2653,36823,2298,2298,163,0,677,704,1272,0,9993,18204,8626,8626,38288,153,142,195,230,1335,36581,3762,0,43.1,5902,12332,9161,7989,2960,1448,551,0,34341,5645,357,15643,10323,6739,7324,314,153
